sale_date,class_id,sale_quantity,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,price,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track,gearbox_type_at,gearbox_type_mt,gearbox_type_dct,gearbox_type_cvt,gearbox_type_amt,gearbox_type_at_dct,gearbox_type_mt_at,if_charging_l,if_charging_t,price_level_5wl,price_level_5_8w,price_level_8_10w,price_level_10_15w,price_level_15_20w,price_level_20_25w,price_level_25_35w,price_level_35_50w,price_level_50_75w,sale_year,sale_month,brand_id_512,brand_id_68,brand_id_12,brand_id_783,brand_id_537,brand_id_923,brand_id_542,brand_id_290,brand_id_294,brand_id_807,brand_id_682,brand_id_813,brand_id_814,brand_id_304,brand_id_49,brand_id_692,brand_id_953,brand_id_831,brand_id_450,brand_id_836,brand_id_841,brand_id_75,brand_id_76,brand_id_985,brand_id_864,brand_id_98,brand_id_872,brand_id_106,brand_id_236,brand_id_750,brand_id_497,brand_id_498,brand_id_126,brand_id_761,brand_id_637,brand_id_638,type_id_1,type_id_2,type_id_3,type_id_4,level_id_1,level_id_2,level_id_3,level_id_4,level_id_5,level_id_6,department_id_1,department_id_2,department_id_3,department_id_4,department_id_5,department_id_6,department_id_7,driven_type_id_1,driven_type_id_2,driven_type_id_3,newenergy_type_id_1,newenergy_type_id_3,emission_standards_id_1,emission_standards_id_2,emission_standards_id_3,trend
201201,125403,90,761,2,3,2,2,6,AT,2.4,L,35-50W,-,1,1,1,3,2,1,123.0,4,225.0,5256,1878,1772,2470,1840,7,3088,1593,1601,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
201201,136916,665,106,3,2,2,5,4,AT,2.0,L,15-20W,-,1,1,1,3,2,1,108.0,4,190.0,4825,1820,1485,2000,1520,5,2775,1575,1560,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
201201,178529,1739,98,1,4,6,1,5,MT,1.0,L,5WL,-,2,1,1,3,2,1,45.0,4,85.0,3730,1510,1860,1550,985,7,2500,1280,1290,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
201201,194450,65,836,2,1,1,3,5,MT,2.0,L,15-20W,-,1,1,1,3,2,1,104.0,4,184.0,4325,1795,1680,1890,1515,5,2630,1550,1550,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
201201,198427,47,12,3,2,1,1,5,MT,1.5,L,5-8W,-,1,1,1,3,2,1,78.0,4,142.0,4602,1725,1485,1610,1200,5,2602,1482,1462,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2012,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
201201,209945,168,814,3,2,4,4,8,AT,2.5,L,35-50W,-,2,1,1,3,2,2,167.0,6,250.0,5039,1860,1492,2245,1765,5,3108,1600,1627,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1
201201,248352,1713,831,3,2,3,3,4,AT,1.6,L,8-10W,-,1,1,1,3,2,1,90.4,4,155.0,4370,1700,1460,1500,1085,5,2570,1489,1493,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
201201,281301,965,750,3,2,2,4,7,DCT,1.8,T,25-35W,-,1,1,1,3,2,1,118.0,4,250.0,4870,1834,1472,2060,1520,5,2803,1577,1550,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
201201,290854,632,537,2,1,1,5,5,AT,2.4,L,15-20W,-,3,1,1,3,2,1,125.0,4,220.0,4530,1820,1680,2080,1625,5,2620,1565,1565,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2012,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
201201,291086,507,761,3,2,2,2,6,AT,2.0,L,20-25W,-,1,1,1,3,2,1,108.0,4,190.0,4830,1856,1484,1990,1555,5,2737,1585,1587,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
