predict_date,class_id,predict_quantity
201711,103507,392.64
201711,124140,262.13
201711,125403,149.26
201711,136916,271.605
201711,169673,190.015
201711,175962,343.84
201711,178529,523.87
201711,186250,195.09
201711,194201,328.595
201711,194450,277.135
201711,198427,123.52
201711,206765,2060.225
201711,209945,389.47
201711,219195,220.85
201711,221795,248.935
201711,245609,138.535
201711,248352,867.315
201711,249875,138.995
201711,250658,202.18
201711,265980,292.89
201711,270690,986.38
201711,281301,563.385
201711,281792,428.2
201711,289386,424.245
201711,289403,266.125
201711,290854,203.85
201711,291086,601.195
201711,291514,76.975
201711,302513,171.425
201711,304458,619.015
201711,308913,331.93
201711,321683,2093.025
201711,340175,177.99
201711,347384,3154.85
201711,348641,507.46
201711,349023,2642.65
201711,350259,514.5
201711,354068,604.74
201711,356986,325.92
201711,359378,98.475
201711,360648,108.805
201711,376193,214.62
201711,378356,520.82
201711,378536,101.95
201711,379265,381.86
201711,379876,171.875
201711,384924,582.375
201711,392593,254.4
201711,395234,34.235
201711,401052,153.04
201711,409854,1983.15
201711,412240,238.26
201711,416749,249.915
201711,417803,89.73
201711,425432,1920.75
201711,436105,388.28
201711,437063,133.095
201711,437598,289.625
201711,453752,278.005
201711,468392,212.44
201711,472603,144.045
201711,475895,97.39
201711,481950,138.52
201711,482497,190.07
201711,492952,290.485
201711,496459,479.385
201711,501564,118.435
201711,510309,135.305
201711,516750,92.0
201711,526401,389.76
201711,527765,68.43
201711,527809,163.98
201711,540712,423.03
201711,559132,159.97
201711,560265,189.8
201711,569154,351.415
201711,576298,560.775
201711,580470,351.4
201711,580634,164.37
201711,587678,262.41
201711,591790,266.16
201711,597927,485.015
201711,603972,469.03
201711,612523,229.61
201711,614059,329.175
201711,619401,341.335
201711,621073,1108.935
201711,628041,749.475
201711,649213,101.285
201711,651347,154.36
201711,651782,86.745
201711,653436,228.48
201711,654134,1032.01
201711,671482,86.425
201711,682651,318.185
201711,683364,67.555
201711,687270,443.16
201711,692703,682.93
201711,693436,205.855
201711,713651,57.12
201711,714150,214.685
201711,714152,571.33
201711,714860,406.145
201711,725137,159.67
201711,732758,105.945
201711,735971,2439.52
201711,736094,379.765
201711,739296,1086.465
201711,741152,757.995
201711,743957,760.045
201711,745137,919.945
201711,750340,158.945
201711,760412,52.61
201711,786351,490.39
201711,789290,66.355
201711,810398,91.71
201711,815230,190.195
201711,819061,640.165
201711,842246,174.27
201711,851857,225.015
201711,854079,297.925
201711,854548,123.71
201711,861459,250.86
201711,871642,196.43
201711,872180,183.86
201711,883691,245.175
201711,890189,1254.75
201711,905061,281.9
201711,905745,238.33
201711,914348,794.315
201711,923841,523.795
201711,924154,1201.555
201711,948936,54.025
201711,950264,1032.305
201711,953842,1143.105
201711,961362,77.14
201711,961962,164.935
201711,963845,304.075
201711,973106,180.065
201711,978089,527.6
